H6_freq,H6_power,H6_db,H7_freq,H7_power,H7_db,H8_freq,H8_power,H8_db,H9_freq,H9_power,H9_db,H10_freq,H10_power,H10_db,H11_freq,H11_power,H11_db,H12_freq,H12_power,H12_db,H13_freq,H13_power,H13_db,H14_freq,H14_power,H14_db,H15_freq,H15_power,H15_db,H16_freq,H16_power,H16_db,H17_freq,H17_power,H17_db,H18_freq,H18_power,H18_db,H19_freq,H19_power,H19_db,H20_freq,H20_power,H20_db,U6_freq,U6_power,U6_db,U7_freq,U7_power,U7_db,U8_freq,U8_power,U8_db,U9_freq,U9_power,U9_db,U10_freq,U10_power,U10_db,U11_freq,U11_power,U11_db,U12_freq,U12_power,U12_db,U13_freq,U13_power,U13_db,U14_freq,U14_power,U14_db,U15_freq,U15_power,U15_db,U16_freq,U16_power,U16_db,U17_freq,U17_power,U17_db,U18_freq,U18_power,U18_db,U19_freq,U19_power,U19_db,U20_freq,U20_power,U20_db,filename,channel
3000020.98083496,0.0714355811501791,-60.9567346110652,3499984.74121094,0.449499833671629,-50.1247410671472,3999948.50158691,1.23067345662393,-43.1597095134292,4499912.26196289,1.85799642158003,-48.4702868171344,4999876.02233887,2.15773514477167,-45.0811263141833,5500078.20129395,2.24466426974175,-46.8801566001628,6000041.96166992,2.26855160446165,-48.1248430829229,6500005.7220459,2.30448859778167,-46.6364305518574,6822347.64099121,2.22943001524577,-50.1729358002491,7534027.09960938,2.28919031309432,-49.9259965948384,8146524.42932129,2.30773462873513,-49.9191717286493,8440732.95593262,2.35622740649747,-49.6004416005339,8999824.52392578,2.39056836995849,-49.9397797226507,9432077.40783691,2.39201165378602,-49.614850318393,9804487.22839355,2.39355207701918,-49.734482973249,3278732.29980469,0.0280072554757227,-62.1896243987851,3772497.17712402,0.123528663284103,-54.4636730654322,4258632.65991211,0.254400374594055,-52.3778502816993,4744052.88696289,0.349524045277292,-49.7711476921313,5263090.13366699,0.352629719822547,-51.1061234003543,5786418.91479492,0.361053570205511,-50.5414467052775,6240606.3079834,0.374528729658839,-50.8021187138584,6725788.11645508,0.384314052509511,-50.5313247531201,7223844.52819824,0.370093462743024,-50.7651511055847,7744073.86779785,0.40157759108656,-50.6588720569238,8290767.66967773,0.372747543557685,-50.614697800204,8795499.80163574,0.390686562085376,-50.5129884670139,9250640.86914062,0.39944426307698,-50.2705783810086,9733200.07324219,0.398483929170644,-50.757368129663,10244369.5068359,0.392982125659291,-50.1190870666652,PCI_1000x_01.pacq,1
3046751.02233887,0.444641629857594,-54.4445161818568,3499984.74121094,0.814718782402556,-48.1099700010815,4231691.36047363,1.5420762698072,-50.808707202647,4634380.34057617,2.02058307358252,-50.6349448544505,5000114.44091797,2.16209942619126,-47.8519881715042,5500078.20129395,2.15791741529414,-49.9743374030661,5993604.66003418,2.2109374708986,-49.952542729954,6674289.70336914,2.13638000088318,-50.0201071302145,6925582.88574219,2.13407159066897,-50.2598104463894,7305383.68225098,2.14339316948125,-49.8580869732003,8257150.65002441,2.17825591197841,-50.0881319861052,8660793.30444336,2.24729757532105,-49.7761468869825,9182453.15551758,2.32053676057107,-49.2365872084731,9425401.68762207,2.29963740624515,-50.2490460162137,9952068.32885742,2.39059948272456,-49.8945799784582,3260135.65063477,0.0894052098650752,-56.4051591973261,3754138.9465332,0.191437461107275,-53.7867042536682,4231691.36047363,0.315167336065382,-50.808707202647,4795789.71862793,0.342397559239898,-50.6633716232842,5264520.6451416,0.349768741699418,-51.5548522534113,5730628.96728516,0.351634242182319,-51.0947481205884,6201267.24243164,0.359274079207958,-51.1186178936897,6785154.34265137,0.357197867561054,-50.5417247957941,7246017.45605469,0.339190556407712,-51.0848477783042,7710218.42956543,0.349485674136119,-50.6188392607145,8257150.65002441,0.366996410977109,-50.0881319861052,8780241.01257324,0.390268900454555,-50.6201723224182,9284496.30737305,0.36745935843198,-50.6808344954727,9768247.60437012,0.395044348631934,-50.5927214096202,10268688.2019043,0.391761017075832,-50.0706795527531,PCI_1000x_01.pacq,64
3046751.02233887,0.421193304606627,-55.5004329482209,3499984.74121094,0.761058004449712,-50.7937523444545,3999948.50158691,1.39555091880126,-47.3466819764642,4499912.26196289,1.90374941421976,-47.4166213151385,5015373.22998047,2.05933762242155,-47.3179737196368,5241870.88012695,1.9901830427289,-50.9968881710093,5824089.05029297,1.95875030026826,-50.8996694266381,6778955.45959473,1.9735623136336,-50.6668895733044,7241487.50305176,1.99322038110285,-50.3803483711636,7381677.62756348,1.95631873720276,-50.2156214370216,7974147.79663086,1.95444691858547,-50.3717545000977,8675336.83776855,1.98478164721039,-50.8966853929504,9029388.42773438,2.05483148981839,-50.5890926917216,9638547.89733887,2.10377889243756,-50.5628446427761,10062456.1309814,2.23422572869178,-49.6541761238006,3264665.6036377,0.0947686902486619,-57.0162950816745,3762722.01538086,0.181299206442377,-54.1466353017194,4287719.7265625,0.279896785635515,-51.0914973710002,4737615.58532715,0.328711295064928,-51.0480584852689,5241870.88012695,0.338586175052705,-50.9968881710093,5729675.29296875,0.333130712736894,-51.2691621123523,6296873.09265137,0.31200531554214,-51.4523126624025,6778955.45959473,0.33109476014024,-50.6668895733044,7241487.50305176,0.34153880813283,-50.3803483711636,7709264.75524902,0.309302062528292,-51.6290630065317,8222579.95605469,0.321565586730923,-51.2447396230714,8778095.24536133,0.327998591914597,-51.3587222234213,9294033.05053711,0.336270011183943,-51.1230333472027,9740591.04919434,0.355823791668294,-50.8830137100785,10293960.5712891,0.374985282724526,-50.159804950138,PCI_1000x_01.pacq,128
3000020.98083496,0.0705642881731052,-61.6852294891176,3499984.74121094,0.45504819547146,-48.8678572233292,3999948.50158691,1.19899014592516,-48.2709369593006,4499912.26196289,1.85008265492095,-50.0769544156316,5000114.44091797,2.13077553638592,-50.2574120244624,5303144.45495605,2.09786962874711,-49.1393509838476,5932331.08520508,2.25829835078197,-49.5076786748041,6500005.7220459,2.28668314099882,-48.8471102093855,7297515.86914062,2.22584275232024,-50.2876932209367,7304430.00793457,2.25141442750886,-49.7048371764687,7863283.15734863,2.29152029157376,-50.2482824126922,8675098.41918945,2.32282280778492,-49.0575117362284,9236097.33581543,2.35060152675617,-49.4690148791378,9236097.33581543,2.43008503802002,-49.4690148791378,10263204.574585,2.45869159742519,-49.0553558703223,3294706.34460449,0.0269882258283973,-61.810371611749,3776788.71154785,0.134731896172431,-54.6682025316293,4292011.26098633,0.256231858354412,-51.7147092363625,4777431.48803711,0.339947205399458,-51.4549687413694,5298852.92053223,0.347016856264038,-50.7716961466354,5742549.89624023,0.363366083034531,-51.3048275751907,6266117.09594727,0.388690739124109,-50.5251594796874,6714820.86181641,0.366212470264053,-50.6226552362563,7297515.86914062,0.373005093215344,-50.2876932209367,7769346.23718262,0.401322221860805,-50.405515789548,8241891.86096191,0.379903388704134,-50.2643325503392,8799076.08032227,0.392398815224106,-50.6575284893459,9236097.33581543,0.400651237328641,-49.4690148791378,9731769.56176758,0.390268835115718,-50.6030942478569,10263204.574585,0.410349398248081,-49.0553558703223,PCI_1000x_02.pacq,1
2990007.4005127,0.43714912495756,-56.5542246797809,3721237.18261719,0.830506944416169,-52.9804830405561,4263639.45007324,1.51177246534611,-51.3226407517975,4506111.14501953,2.00008411751398,-48.8771493667445,4999876.02233887,2.17797089778803,-50.1729431730814,5540609.35974121,2.15673857452614,-50.6404112928039,5874633.7890625,2.17190072943509,-48.9049534638715,6593227.38647461,2.15107639092773,-49.2160620073393,7112026.21459961,2.12025642636303,-49.9423794933996,7709264.75524902,2.18261283945844,-49.6913238755252,7709264.75524902,2.16084442376349,-49.6913238755252,8400917.05322266,2.19467104466794,-49.7999844104322,9290695.19042969,2.25628710497768,-50.2269543924265,9671449.66125488,2.37224309894137,-49.6928235585063,10279178.6193848,2.40703387642324,-49.9628872717834,3223657.60803223,0.089804618352891,-57.3819592254953,3721237.18261719,0.189719507974788,-52.9804830405561,4263639.45007324,0.305482542171182,-51.3226407517975,4717111.58752441,0.35751366276871,-50.5638068984387,5298137.66479492,0.360389332072114,-51.1229443234461,5783081.0546875,0.34916573444615,-51.0449597506377,6206512.45117188,0.375195528257218,-49.7458835956415,6718873.97766113,0.339219584736463,-51.2758042173361,7291316.98608398,0.355602435850188,-51.2004519966115,7709264.75524902,0.345543687760245,-49.6913238755252,8212327.95715332,0.361830266795121,-50.5671934472581,8751869.20166016,0.368181972209347,-51.2000007694155,9290695.19042969,0.391558378440414,-50.2269543924265,9789228.43933105,0.406630935484479,-50.0056924844185,10279178.6193848,0.402602754447592,-49.9628872717834,PCI_1000x_02.pacq,64
3142833.7097168,0.389660711019111,-56.8775795039766,3499984.74121094,0.748611257348373,-51.7046409935877,3999948.50158691,1.35794781843008,-50.8439574824393,4654407.5012207,1.82827907299848,-50.5717420107413,5236864.08996582,1.99647156876148,-50.5303219461765,5378246.30737305,2.01040075766078,-50.1342984034218,6044864.65454102,1.96088127203901,-50.1719300340637,6415605.54504395,1.96983116054642,-49.952369879658,6754159.92736816,2.03156298641387,-50.2301402381674,7526636.12365723,1.96951420755853,-50.0950544198866,7976770.40100098,1.96032972992319,-50.195152695248,8620262.14599609,2.01873477023942,-50.4492217767381,9013652.80151367,2.09687277416806,-50.2205956718994,9354352.9510498,2.11035181484522,-50.1589338660758,10058164.5965576,2.19630461983783,-49.9825388501485,3279924.3927002,0.0754202246069195,-57.1489243172305,3776311.87438965,0.168737682984536,-53.3598971930601,4255533.21838379,0.275892500217638,-51.8481132149761,4791021.3470459,0.314322365940532,-51.4214691224745,5236864.08996582,0.343454395574962,-50.5303219461765,5757570.26672363,0.33542148670888,-51.2175459780906,6226301.1932373,0.319993562838329,-51.3268611658221,6754159.92736816,0.340194029268847,-50.2301402381674,7225513.45825195,0.348106685126181,-50.7047340010105,7733821.86889648,0.314119695178462,-51.4549286020761,8226633.07189941,0.334033581011353,-51.1861609300645,8725881.57653809,0.325046379641053,-51.5750875763504,9289503.09753418,0.355043349104163,-51.1088002718971,9793758.39233398,0.363761331434143,-51.0247779857442,10284185.4095459,0.363817693465306,-51.0085602707574,PCI_1000x_02.pacq,128
3000020.98083496,0.0726881505006416,-58.8630751537245,3499984.74121094,0.480969894997946,-41.8332588472547,3999948.50158691,1.255242085061,-39.172044642992,4499912.26196289,1.90214238770903,-42.1010549440458,4999876.02233887,2.24547531559247,-39.4221859957386,5500078.20129395,2.31347330149744,-37.876278252765,6000041.96166992,2.2366669983785,-49.0158673580964,6500005.7220459,2.28315667557816,-43.3094183783006,7159233.09326172,2.30319366042754,-49.0479388673999,7499933.24279785,2.26218021656565,-43.0863276240122,7999897.00317383,2.28099362378246,-45.244802816469,8382081.98547363,2.33689296020254,-49.415072661604,8818626.40380859,2.32638712765411,-49.6709451646048,9625911.71264648,2.46216847258799,-49.287511717198,9912252.42614746,2.53311567186932,-49.9337948789995,3276586.53259277,0.0294985214432603,-61.8560503072901,3734111.78588867,0.128929947231268,-54.3501401918576,4276752.47192383,0.250371740074195,-52.7072219659201,4759550.09460449,0.362774957711549,-51.0945853762179,5225419.99816895,0.379434133966824,-50.6698132441029,5720853.80554199,0.358559499388939,-50.351599473449,6296157.83691406,0.378980952055083,-50.6871996047238,6792783.73718262,0.396164165403146,-49.4385066904164,7250070.57189941,0.373975170632088,-50.5426508003423,7779836.65466309,0.378098285009889,-50.220321872679,8289813.99536133,0.383973964710292,-50.1659336862184,8771657.94372559,0.363085661203331,-50.5949934454557,9225130.08117676,0.421802905677843,-50.1929250206226,9709119.79675293,0.388606296199482,-50.3618674060351,10241270.0653076,0.419996784767742,-50.4031370241909,PCI_100x_01.pacq,1
3046751.02233887,0.472504739450806,-48.0774960013278,3499984.74121094,0.870037324650552,-46.9523205380369,3999948.50158691,1.62032704297195,-41.1725316007874,4499912.26196289,2.34285743918014,-35.644290134835,4999876.02233887,2.38490828183926,-38.5239286061205,5500078.20129395,2.35158510605323,-41.1297590645607,6015300.75073242,2.25795665848957,-43.8952004097347,6453037.26196289,2.25421616577205,-45.2647481986727,6984710.69335938,2.28425791350523,-40.4451906641867,7484674.45373535,2.2580298481839,-43.2551480572655,8015155.79223633,2.20954908682992,-46.905112201067,8406162.26196289,2.25859024345428,-48.4515467484928,8953094.48242188,2.32796913179599,-46.122827014521,9453058.24279785,2.39430753152443,-48.8207837745849,10042905.8074951,2.3638578817791,-49.7728621043065,3230333.32824707,0.0955121599622012,-54.9803149523127,3728628.15856934,0.198645922862785,-54.1068367358704,4283428.19213867,0.329559943631954,-50.9628552718995,4744052.88696289,0.345482948052288,-50.4937556957232,5210876.46484375,0.367502351537127,-51.1303733882173,5762577.05688477,0.380572820446764,-49.305418191442,6213665.00854492,0.377931236636119,-49.4119079554336,6718397.14050293,0.377025147613302,-50.8389965463498,7217645.6451416,0.34569489738851,-49.6279965049657,7724285.12573242,0.365862672789238,-50.145999743608,8231401.44348145,0.353518026599731,-50.1185947995914,8734941.48254395,0.380528344908951,-49.8597708453725,9232282.6385498,0.395695988265617,-50.1427923515945,9768009.18579102,0.378352884703158,-50.5554002846978,10207414.6270752,0.404112970022,-50.1826028592082,PCI_100x_01.pacq,64
3046751.02233887,0.411051196566499,-52.8146382446815,3499984.74121094,0.810110529105921,-41.6423365666275,3999948.50158691,1.41909441771709,-44.7026449351162,4499912.26196289,1.91979214725583,-42.2186826637151,4999876.02233887,2.09085373425289,-43.0967563386419,5484819.41223145,2.07432360569236,-43.4691941823345,6165504.45556641,1.95586164583249,-49.774914152847,6500005.7220459,2.00553482913042,-48.1444763848324,7089376.44958496,1.99159874147958,-50.6606224585515,7515192.03186035,2.03046948915406,-48.9573128470392,7984638.21411133,1.93265879396148,-47.4966799399063,8674144.74487305,2.01254263725643,-50.8680610478938,8906126.02233887,2.11289341027282,-49.5643906294422,9702920.91369629,2.14596360429882,-50.2222028724164,9913444.51904297,2.18186913623116,-49.5080222287222,3270864.48669434,0.085009360229252,-57.2141369178065,3737688.0645752,0.178144983035937,-53.3356449432455,4245281.21948242,0.284818546479739,-51.7651193973366,4712104.79736328,0.311323357274608,-51.2950974509242,5278110.50415039,0.352901801515446,-50.8897845489898,5796909.33227539,0.32276175314557,-51.4614183146411,6271362.3046875,0.335763222598045,-51.1122834806186,6735563.27819824,0.325193272480413,-50.997884035587,7230997.08557129,0.330032232394771,-51.4147253697774,7752895.35522461,0.317874674599953,-51.2413999066504,8256673.81286621,0.329352893797545,-50.92816466386,8753061.29455566,0.319921450982456,-51.1350006180409,9277820.5871582,0.369051320636185,-50.8898124116477,9702920.91369629,0.37308020639963,-50.2222028724164,10246515.2740479,0.375765813723926,-50.7759490543185,PCI_100x_01.pacq,128
3000020.98083496,0.0742746339051952,-54.5685402099173,3499984.74121094,0.447492319763885,-49.9853559899666,3999948.50158691,1.20750905672613,-42.729783077651,4499912.26196289,1.91219612614164,-40.8803669824706,4999876.02233887,2.11883710077201,-46.6219159380364,5500078.20129395,2.16980241940188,-48.9771831492427,6000041.96166992,2.17186677276679,-49.0659312946146,6316184.99755859,2.27099487218,-49.0760349919865,7173061.37084961,2.25103390582227,-48.4712799558707,7547616.95861816,2.260794953717,-49.5480080254246,7911920.54748535,2.23991657150042,-49.6628098362562,8741617.20275879,2.35998424626538,-50.1467922923983,9039878.84521484,2.3991775485892,-49.4128158970989,9713649.74975586,2.45144301606204,-48.919352279964,9713649.74975586,2.43690693379443,-48.919352279964,3271102.90527344,0.0274710702726924,-61.2175664985707,3728151.32141113,0.13080167847007,-55.5718692840783,4271030.42602539,0.255482920288757,-52.2219946756134,4739999.77111816,0.353214962385647,-50.460148718846,5260944.36645508,0.359178759398172,-51.23350146611,5794048.30932617,0.352835197472257,-50.8885415938652,6269216.53747559,0.355255301786009,-51.6187333418387,6772279.73937988,0.377811297412401,-50.1122349351656,7222175.59814453,0.365213126974499,-51.1507646282565,7708072.66235352,0.357609373497329,-50.129974478429,8255243.3013916,0.38246454674578,-51.1868644449137,8741617.20275879,0.408483470915204,-50.1467922923983,9204864.50195312,0.415206342241975,-50.0252098184658,9713649.74975586,0.428830878638886,-48.919352279964,10209321.975708,0.407886924378005,-50.7105255828886,PCI_100x_02.pacq,1
